"Version","Task","Concept","Att 1 - Brand","Att 2 - Verified Buyer Ratings","Att 3 - Mattress Type","Att 4 - Firmness","Att 5 - Trial Period","Att 6 - Warranty","Att 7 - Price (Queen)"
9,8,3,1,3,1,4,3,3,6
9,8,4,5,4,3,2,4,4,1
9,9,1,3,1,3,5,3,3,5
9,9,2,9,5,5,2,4,4,3
9,9,3,1,4,2,3,1,1,7
9,9,4,2,2,4,1,2,2,4
9,10,1,5,2,1,1,1,2,5
9,10,2,16,5,3,2,3,3,6
9,10,3,12,4,4,4,2,4,3
9,10,4,7,1,5,3,4,1,7
9,11,1,11,4,3,4,4,4,7
9,11,2,15,3,2,5,3,2,1
9,11,3,8,1,4,1,2,1,4
9,11,4,14,5,5,2,1,3,2
9,12,1,6,2,1,5,3,1,5
9,12,2,10,5,3,4,2,3,1
9,12,3,13,1,5,1,1,4,4
9,12,4,4,3,2,3,4,2,6
10,1,1,3,5,3,4,4,3,7
10,1,2,12,4,2,3,3,4,4
10,1,3,10,3,4,5,1,1,2
10,1,4,13,2,1,2,2,2,3
10,2,1,9,3,4,3,4,2,6
10,2,2,7,4,1,2,3,3,1
10,2,3,11,2,2,1,1,4,5
10,2,4,2,1,5,5,2,1,2
10,3,1,6,3,5,4,3,2,3
10,3,2,1,2,3,3,4,3,4
10,3,3,15,5,1,1,1,1,6
10,3,4,4,4,4,2,2,4,7
10,4,1,5,5,4,2,3,1,2
10,4,2,8,3,3,3,1,2,1
10,4,3,14,4,5,4,2,3,5
10,4,4,16,1,2,5,4,4,3
10,5,1,14,4,3,3,3,3,3
10,5,2,11,2,2,5,4,2,6
10,5,3,13,1,1,1,1,4,4
10,5,4,2,5,4,2,2,1,2
10,6,1,5,2,2,4,1,2,1
10,6,2,3,4,4,3,4,1,2
10,6,3,7,1,1,1,2,3,7
10,6,4,4,3,5,5,3,4,5
10,7,1,16,1,2,5,1,2,3
10,7,2,1,3,1,4,3,4,7
10,7,3,12,5,5,1,4,1,4
10,7,4,10,2,3,2,2,3,1
10,8,1,9,3,5,3,3,1,6
10,8,2,8,2,2,4,2,4,2
10,8,3,15,5,1,2,1,3,1
10,8,4,6,1,4,5,4,2,5
10,9,1,10,1,2,5,4,3,7
10,9,2,14,4,3,1,3,4,5
10,9,3,6,2,1,3,2,2,6
10,9,4,7,3,5,4,1,1,4
10,10,1,2,4,4,1,3,1,3
10,10,2,13,1,1,3,1,4,4
10,10,3,5,5,3,2,2,2,6
10,10,4,11,2,5,5,4,3,7
10,11,1,4,1,5,5,2,3,5
10,11,2,15,3,3,2,4,1,3
10,11,3,1,5,4,1,3,2,2
10,11,4,8,4,2,4,1,4,1
10,12,1,16,4,3,2,3,1,3
10,12,2,3,5,4,4,4,4,6
10,12,3,9,2,2,1,1,3,1
10,12,4,12,3,1,3,2,2,7
11,1,1,1,1,4,2,3,1,5
11,1,2,13,3,3,3,1,2,2
11,1,3,6,2,1,1,2,4,4
11,1,4,8,5,2,4,4,3,3
11,2,1,11,5,1,2,1,1,5
11,2,2,4,1,3,4,2,4,1
11,2,3,15,4,5,5,3,2,7
11,2,4,2,3,4,3,4,3,4
11,3,1,9,2,5,5,2,1,2
11,3,2,12,5,3,4,3,4,1
11,3,3,3,1,4,3,1,3,3
11,3,4,7,4,2,1,4,2,6
11,4,1,14,3,1,1,3,2,7
11,4,2,5,1,3,4,1,4,2
11,4,3,10,4,5,2,2,1,4
11,4,4,16,2,2,5,4,3,5
11,5,1,3,5,2,5,3,4,7
11,5,2,15,2,4,2,4,3,6
11,5,3,10,4,5,1,2,2,5
11,5,4,5,3,1,3,1,1,4
11,6,1,12,4,1,5,4,2,6
11,6,2,16,1,2,4,1,1,3
11,6,3,2,2,5,3,3,4,1
11,6,4,11,3,3,1,2,3,2
11,7,1,9,1,5,5,2,2,3
11,7,2,14,4,3,4,3,1,5
11,7,3,6,5,4,2,1,4,4
11,7,4,1,3,2,3,4,3,7
11,8,1,4,1,2,4,4,4,2
11,8,2,13,4,5,3,1,3,4
11,8,3,8,2,4,2,3,2,1
11,8,4,7,5,1,1,2,1,6
11,9,1,16,5,3,2,1,1,1
